http://www.ppomppu.co.kr/zboard/view.php?id=phone&no=3306674&keyword=g6,2017-03-31,299,언더케이지로 g6 말들이 많네요., 현재 g2를 쓰고있고 이제 곧 기변을 해야하는 입장에서 지6 출고가가 비싸서 그렇지 ㅃㅃ인들은 다들 저렴하게 구할수있으니 나름 매력있는것같아요~ ㅇㅏ직 갤8 정책이 안떠서 모르겠지만 제 생각엔 지6만큼 뿌리지는 않을것같은데.. 그리고 디자인은 개취가 심하지만 전 아직까진 엣지형태의 디자인에는 거부감이 있어서 선뜻 갤8이 당기진않는군요ㅠ ,2017-03-31 6:10,,,,
http://www.ppomppu.co.kr/zboard/view.php?id=phone2&no=1557245&keyword=g6,2017-03-31,39,G3캣6 이번에헬로 33으로 가는데 s8뽐이.., 오네요.. 이럴 경우는 어떻게하는것이 좋을까요? 출고가 구매후 선약걸고 쓰는것도 나쁘지 않다고하던데 정말 그런가요?. G3cat6 2014년 7월에 skt 기기인데 헬로모바일 kt 되는게 맞죠? 유심은 오늘도착했는데 너무 늦게확인해서 아직 개통진행은 안해놨고요. 핸드폰엔 별 관심이없었는데 이번에 뽐뿌를 주구장창 보고있는게되서.. 지금 s7엣지 128이나 노트5 g6의 경우 공시or 선약 + 판매자 = 0원에서 20만원 내외라고볼때 구매자입장에서는 판매자 금액을 더 못받으니 출고가로 사는것이 엄청 손해같이 느껴지는데. 다른 싸이트에 질문 올리니. 출고가로 디지털프라자에서 사서 유심만 끼우는 선택이 나쁘지만은 않다라는 의견을 받았는데. 위의 엣지같은경우 구형모델이라 판매자 금액이 많아서 신상s8은 지원이 적을거고 그래서 그냥 출고가로 사는게 나쁘지않다 이런건가요?? 그냥.. 하던데로 g3 배터리와싸워가며 써야할지.. 아니면 중고 기계를 사는것이 맞을지. 아니면 알뜰폰으로 넘어가는걸 포기하고. Kt번이로 s7엣지를 사는게맞을까요. 젤 원했던건 노트7이었는데 터져서 넘기다보니 어느새 알뜰폰단계까지 왔는데. 어렵네요 두서없는 많은 질문들이지만 도움 주탁드립니다,2017-03-31 6:10,,,,
http://www.ppomppu.co.kr/zboard/view.php?id=phone&no=3306673&keyword=g6,2017-03-31,913,언더케이지? 저게 무슨 리뷰인가요???, 이미 다 피드백 끝난거 그냥 보고하는 수준인데요?? G6평판 흐름 종합해서 갤8출시후 가루가 되도록 까이는G6 분위기에 편승한걸밖에 안보이네요.. 제눈에는 그렇게 보입니다..,2017-03-31 6:10,,,,
http://www.ppomppu.co.kr/zboard/view.php?id=phone&no=3306672&keyword=g6,2017-03-31,739,갑자기 언더케이지의 G6리뷰 얘기가 나와서," 보고 왔는데.. 너무 적나라해서 약간 아쉽지만 결과적으로 봤을 때 틀린 말은 없는 것 같네요. 저도 G6을 쓰고 있고 기기 자체는 만족스럽고 일상 생활에서 부족함이 느껴지진 않지만 들어간 부품들, 배터리나 카메라 등을 고려했을 때 G6이 2017년 플래그십 다운 성능이고 89만원은 소비자들을 배려해서 정한 가격인가? 생각해 보면 아무리 생각해도 '아니다' 거든요. 결국 가장 중요한 것은 가성비인데 말이죠. 올해 다른 제조사들의 플래그십들과 붙어서 경쟁이 될 수 있을지 우려가 됩니다. 이래저래 여러 제조사가 경쟁하며 비벼줘야 품질이든 서비스든 소비자에겐 더 좋아질텐데요.. ",2017-03-31 6:10,,,,
http://www.ppomppu.co.kr/zboard/view.php?id=phone&no=3306671&keyword=g6,2017-03-31,744,언더케이지 리뷰 때문에 G6 이 다시 이슈가 되네요. 근데 뽐뿌인에겐 싼폰입니다," 리뷰에서 말하는 가격이야. 법적으로 정해진 출고가로 까는건데.   당연히 그 가격에 사는 사람들은 신랄하게 깔만하죠.   근데 뽐뿌인들이 사는 기준으로는 제가 보기엔 현재  좋은 스펙이면서  싼폰같이 보이긴해요 ㅎㅎ   지난 주말에 풀린  할원20만 599요금제 면 4월달까지 주는 헤드셋 사은품 팔면.. 할원 9만원 짜리 기기니까요   더군다나 공시가 12만원 이고, 판매자 지원금이 58이라서. 중간에 해지하거나 번호이동시에는 뱉어낼 돈이 엄청 적은 편이죠.   비교 대상이 S8 이 아니고 , S7  128기가 블랙펄이 되야 하죠.   음질, 광각 카메라가 맘에 들면 G6을, 아니면 S7을 가면 될거 같습니다.   S8은 뽐뿌인 기준으론 같은 가격이 아니니까요 ㅎㅎ   S7 블랙펄이랑 비교시에는 호불호가 갈리긴 할거 같습니다..   그래도 S7 이 나은 점이 많긴 하지만요.    참고로 약정 못채우고 위약금 반환시는 S7이 공시가 높아서 뱉어야 할 돈은 꽤 커집니다.",2017-03-31 6:10,,,,
http://www.ppomppu.co.kr/zboard/view.php?id=phone&no=3306669&keyword=g6,2017-03-31,1118,언더케이지 g6 리뷰 보고 왔는데 엄청 까네요,   흑흑 실사자 입장에서는 슬픕니다.       사용한지 2주 지났는데   아직까지 불만은 없습니다.         인터넷이 아이폰 사파리 브라우저가 편했던게 있네요.     그거 빼고는 불만이 없습니다.     배터리도 아이폰6 보다 몇배는 더 가고 있어서 배터리로 까는건 좀 의문입니다.   물론 갤7엣지 보다는 못한 성능이지만 저도 갤7엣지 써봤을 때 진짜 배터리는 최강이었거든요.   갤7엣지가 화면이 더 쨍했던 것은 좋았기도 합니다. 아몰레드라 그런지 선명하더라구요. g6에 hdr? 인가 뭔가 들어갔다던데 솔직히 아이폰6이랑 뭐가 다른지 잘 모르겠고.       카메라는 18:9(6m) ? 인가 처음 세팅된 거에서 4:3(13m)으로 바꾸고  갤7이랑 별 차이는 모르겠습니다.   저조도에서 뭉개지는게 좀 그렇지만 광각카메라가 대신 있으니            ,2017-03-31 6:10,,,,
http://www.ppomppu.co.kr/zboard/view.php?id=phone&no=3306647&keyword=g6,2017-03-31,656,LG G6, G6 경쟁작-->갤럭시s8 현실 --->갤럭시7 좋은폰이라고는 하는데 다음 v30나올때는 20처럼 더 좋은폰으로 나오길 ㅜ,2017-03-31 6:11,,,,
http://www.ppomppu.co.kr/zboard/view.php?id=phone&no=3306646&keyword=g6,2017-03-31,907,음감을 목적으로 g6 이번에 샀는데," 원래 갤칠 쓰다가 저번주에 사서 굴려보고고 있는데 음감 하나때문에 샀는데 일반 모드로 들어서 그런가 크게 감동할만한 음질이 아니네요 전에 v20 시연하러 갔을때 쿼드dac 이라는 느낌이 확 들정도로 체감을 했는데 이번 g6는 설정을 뭘 해야 되는건지 아무리 만져봐도 동일 하네요 (하이파이킴) hbs1100, 닥터드레 투어2, akg k551, k845bt 쓰고 있는데 원래 이런건지 모르겠네요 파워앰프를 써봐도 신통치 않구요 별 큰 감동이나 감흥이 없어서 원래 쓰던 갤럭시 들고다니는데 저만그런가요?ㅋㅋ",2017-03-31 6:11,,,,
http://www.ppomppu.co.kr/zboard/view.php?id=phone&no=3306636&keyword=g6,2017-03-31,879,g6에 들어가는 카메라센서가 홍미노트4꺼래요..., ㄷㄷㄷ 같은센서인데 홍미야 넌 뭐하는거니,2017-03-31 6:11,,,,
http://www.ppomppu.co.kr/zboard/view.php?id=phone&no=3306633&keyword=g6,2017-03-31,807,언더케이지 g6리뷰, https://youtu.be/houjJSiuJDQ 참조하실분은 참조하셔요,2017-03-31 6:11,,,,
